"","s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12"
"peak952",178,116,62,29,15,11,119,49,46,17,11,15
"peak953",347,364,179,83,69,40,319,250,192,97,92,38
"peak954",1573,1539,1314,897,1128,807,1339,1122,1030,879,946,807
"peak955",234,193,108,74,57,25,197,137,110,82,62,12
"peak956",771,690,726,590,740,550,600,632,633,521,714,506
"peak957",6,14,13,19,36,110,7,5,14,13,39,156
"peak958",361,171,107,32,30,23,251,182,108,51,40,28
"peak959",93,66,60,69,63,62,107,66,51,44,63,75
"peak960",152,108,51,36,54,3,106,58,72,48,28,10
"peak961",324,378,349,319,309,77,321,276,348,305,278,44
"peak962",155,120,63,32,22,2,119,59,56,27,20,9
"peak963",185,173,99,62,64,57,151,118,114,55,62,71
"peak964",98,72,35,19,51,109,58,42,35,20,43,163
"peak965",38,48,44,67,68,324,32,40,30,73,102,390
"peak966",137,154,82,31,23,9,158,127,73,22,23,10
"peak967",109,71,66,77,125,190,114,68,54,71,156,206
"peak968",176,192,109,90,105,100,175,146,114,99,95,116
"peak969",30,42,69,110,219,221,36,43,48,108,174,272
"peak970",44,58,62,46,50,74,45,61,34,41,55,76
"peak971",33,23,16,63,125,299,38,20,27,63,176,341
"peak972",1205,1242,813,518,391,180,1120,1070,735,477,385,114
"peak973",148,103,36,17,16,13,94,52,30,27,28,14
"peak974",541,403,197,96,71,22,431,335,184,96,73,31
"peak975",347,240,99,20,21,15,308,179,108,15,19,6
"peak976",530,465,266,113,64,21,451,303,195,132,56,24
"peak977",258,191,186,120,149,119,225,146,172,143,145,143
"peak978",243,151,75,24,4,12,198,116,76,19,5,18
"peak979",150,115,78,113,134,190,101,78,72,97,127,250
"peak980",336,442,452,304,373,227,304,348,353,353,314,183
"peak981",131,82,35,13,16,14,101,83,35,17,11,13
"peak982",40,51,67,71,94,112,42,47,46,71,72,116
"peak983",11,4,24,35,100,310,6,10,21,27,88,362
"peak984",243,166,79,40,24,20,174,129,57,25,25,15
"peak985",179,149,127,76,36,11,177,118,97,82,61,28
"peak986",120,72,71,26,42,18,121,61,54,28,47,9
"peak987",189,145,139,97,184,363,182,141,130,100,191,444
"peak988",11,17,16,8,47,102,2,11,5,21,35,127
"peak989",336,293,199,113,81,34,273,245,191,136,102,48
"peak990",183,144,103,119,278,332,148,86,78,136,263,434
"peak991",472,391,231,136,154,85,429,287,217,136,132,78
"peak992",137,122,102,52,49,27,133,94,47,72,46,32
"peak993",189,101,88,30,24,26,133,66,72,77,21,16
"peak994",1074,1021,919,697,828,743,946,747,720,737,814,704
"peak995",312,180,97,22,16,17,213,145,77,26,12,9
"peak996",391,316,161,36,44,7,325,246,133,52,31,8
"peak997",953,795,707,519,530,272,832,632,596,492,466,282
"peak998",989,1039,970,778,1183,1115,902,846,755,878,1103,1002
"peak999",696,600,265,97,30,13,543,406,263,102,51,30
"peak1000",358,260,189,110,107,52,266,218,164,140,87,47
"peak1001",114,102,89,101,122,220,113,82,66,110,127,267
"peak1002",2,0,5,9,19,46,0,4,7,7,7,55
"peak1003",126,90,152,166,303,380,108,70,132,172,259,479
"peak1004",107,110,68,44,75,80,103,78,49,44,58,100
"peak1005",427,304,112,29,23,5,346,191,113,40,18,12
"peak1006",281,190,97,60,42,147,243,125,81,39,41,199
"peak1007",291,237,163,134,181,226,274,160,113,171,175,310
"peak1008",254,111,74,15,12,7,167,104,71,10,19,15
"peak1009",168,150,80,10,12,3,104,95,73,22,12,6
"peak1010",323,223,129,54,58,26,204,156,107,75,50,19
"peak1011",170,128,46,18,21,12,119,69,57,18,35,22
"peak1012",579,317,69,11,21,11,405,187,97,15,11,12
"peak1013",7,27,32,63,167,263,19,16,31,72,175,369
"peak1014",19,27,34,56,121,174,22,40,29,69,120,251
"peak1015",252,213,117,48,30,19,199,118,125,65,27,23
"peak1016",177,142,88,93,86,7,132,105,104,102,92,14
"peak1017",429,416,449,338,441,384,318,277,305,333,438,449
"peak1018",343,203,89,36,14,8,249,159,75,53,22,21
"peak1019",758,534,420,179,118,68,642,525,361,172,101,84
"peak1020",223,159,119,70,59,20,143,115,138,94,42,22
"peak1021",233,162,84,51,25,25,156,120,80,59,35,18
"peak1022",251,178,112,73,57,14,216,110,110,66,49,18
"peak1023",566,574,496,534,486,354,579,640,524,608,458,527
"peak1024",37,62,67,97,201,127,40,34,78,128,167,165
"peak1025",195,121,97,49,42,18,137,97,82,53,35,16
"peak1026",202,151,159,110,246,312,193,114,105,118,240,422
"peak1027",120,103,75,27,28,7,119,77,45,30,18,23
"peak1028",11,36,79,128,170,120,11,32,60,91,164,89
"peak1029",1492,1336,1145,801,1061,771,1162,1000,1005,843,962,717
"peak1030",45,61,115,98,116,140,33,48,87,107,166,132
"peak1031",707,408,149,41,17,22,524,356,198,36,24,30
"peak1032",245,222,159,21,12,15,219,128,116,26,10,12
"peak1033",116,93,124,84,132,96,111,88,92,86,123,152
"peak1034",903,726,431,216,148,49,761,600,402,240,166,53
"peak1035",294,274,295,207,250,277,248,260,273,245,266,199
"peak1036",321,331,250,67,41,32,340,291,199,104,49,44
"peak1037",239,187,132,82,90,58,216,169,130,96,90,62
"peak1038",214,113,72,33,21,29,148,101,43,24,21,24
"peak1039",365,317,171,113,93,24,345,275,182,141,100,18
"peak1040",209,217,213,210,273,422,186,167,201,186,329,519
"peak1041",189,138,112,33,33,24,169,116,137,65,32,19
"peak1042",957,884,811,592,646,426,893,715,698,601,634,442
"peak1043",376,323,206,100,63,20,269,216,159,92,57,34
"peak1044",832,722,416,217,178,38,687,507,387,198,133,27
"peak1045",196,117,62,24,7,15,208,110,63,8,5,15
"peak1046",202,160,73,24,27,15,185,112,58,30,18,23
"peak1047",126,72,88,81,158,314,108,64,74,81,94,404
"peak1048",20,24,45,35,42,141,24,17,34,33,60,169
"peak1049",192,152,155,73,109,102,155,127,113,100,114,100
"peak1050",162,95,54,18,28,15,135,63,52,23,19,5
"peak1051",420,222,100,26,14,11,316,190,76,45,12,9
"peak1052",158,161,90,51,36,57,160,116,86,71,81,94
"peak1053",374,299,170,84,83,9,333,217,168,97,45,18
"peak1054",679,501,292,107,62,40,644,445,317,126,82,45
"peak1055",286,332,349,395,626,737,222,233,284,339,687,829
"peak1056",1032,1153,1283,1015,1251,1012,942,933,990,968,1149,952
"peak1057",1250,1436,1272,1125,1305,1050,1093,1024,1149,1065,1187,1063
"peak1058",49,63,37,39,80,148,42,47,52,33,96,177
"peak1059",265,196,71,21,15,9,211,139,62,19,11,15
"peak1060",226,205,86,42,19,5,214,109,91,36,31,4
"peak1061",69,35,58,67,123,68,51,36,33,86,131,77
"peak1062",294,202,47,34,13,15,214,119,73,37,31,29
"peak1063",290,177,69,18,17,20,244,137,83,26,19,8
"peak1064",270,164,100,53,52,39,185,141,90,65,58,46
"peak1065",63,31,38,50,139,173,44,34,37,42,61,186
"peak1066",26,37,77,155,223,199,35,38,41,150,183,142
"peak1067",59,41,88,95,210,302,44,44,77,98,179,417
"peak1068",140,128,44,25,28,9,132,59,54,24,20,22
"peak1069",889,717,642,478,615,475,739,629,562,521,589,458
"peak1070",184,116,83,52,55,40,114,97,97,46,44,52
"peak1071",268,224,161,87,57,27,259,174,136,110,89,24
"peak1072",202,159,122,81,50,88,153,101,119,49,61,82
"peak1073",379,436,419,416,470,330,333,396,363,403,366,230
"peak1074",73,128,125,140,239,354,77,96,123,116,275,446
"peak1075",1105,1210,1245,1036,1455,1320,983,1095,1058,1053,1369,1286
"peak1076",174,258,293,356,325,186,197,194,273,298,353,196
"peak1077",179,98,64,20,14,15,125,63,45,27,19,11
"peak1078",114,127,151,114,194,263,123,77,101,109,224,299
"peak1079",30,48,51,71,126,134,32,48,48,78,139,211
"peak1080",315,268,249,106,84,32,286,262,171,134,70,42
"peak1081",286,184,70,26,13,18,263,156,83,41,20,11
"peak1082",259,288,224,137,96,37,284,243,234,146,104,40
"peak1083",299,275,153,51,20,12,303,203,166,36,28,19
"peak1084",247,205,113,38,17,22,260,186,95,45,17,12
"peak1085",169,136,111,34,29,10,163,143,92,56,32,12
"peak1086",193,254,254,237,333,152,250,188,266,231,266,201
"peak1087",492,572,342,167,104,56,485,462,341,158,108,68
"peak1088",621,681,410,147,95,79,614,601,386,158,82,74
"peak1089",572,423,312,130,67,23,639,368,245,100,45,29
"peak1090",225,203,140,61,32,15,261,216,139,69,45,17
"peak1091",120,80,44,14,10,9,109,63,43,17,8,18
"peak1092",186,184,101,27,11,5,203,159,97,25,12,30
"peak1093",343,368,370,277,357,193,277,287,257,281,308,145
"peak1094",123,77,55,17,17,8,117,84,37,20,20,19
"peak1095",176,153,155,175,302,367,168,156,159,173,265,477
"peak1096",48,60,93,59,99,183,49,71,66,78,119,245
"peak1097",916,1165,1344,1317,1788,1685,861,1024,1196,1369,1690,1528
"peak1098",253,214,92,24,23,18,213,174,119,27,22,32
"peak1099",59,58,53,47,113,165,71,55,52,39,93,220
"peak1100",88,76,69,52,45,167,57,44,47,41,62,147
"peak1101",110,117,113,104,176,170,90,79,111,104,150,276
"peak1102",183,228,164,168,200,211,196,144,150,193,216,214
"peak1103",547,504,288,145,173,260,482,469,225,143,186,396
"peak1104",149,151,164,117,197,207,136,128,134,179,205,202
"peak1105",532,815,1023,765,920,541,611,722,706,725,820,424
"peak1106",123,103,62,34,24,14,110,73,60,36,10,10
"peak1107",167,190,196,124,204,139,158,149,152,150,162,166
"peak1108",807,942,899,670,1013,776,777,742,781,701,845,635
"peak1109",202,151,73,42,18,2,175,124,82,35,9,11
"peak1110",168,146,76,32,25,15,145,102,82,54,31,12
"peak1111",230,137,90,37,10,15,185,114,74,33,10,34
"peak1112",161,169,185,151,184,143,147,161,132,144,186,134
"peak1113",232,364,311,244,234,193,323,297,260,215,220,202
"peak1114",444,381,209,92,62,12,479,219,230,112,56,18
"peak1115",115,104,110,117,203,300,91,102,86,124,207,363
"peak1116",479,482,242,137,117,37,460,342,266,133,84,22
"peak1117",335,226,225,157,154,243,294,163,191,215,187,279
"peak1118",95,81,47,44,88,160,62,67,54,61,60,177
"peak1119",954,928,797,593,816,659,908,773,716,598,726,637
"peak1120",180,175,171,121,134,79,177,155,124,126,117,103
"peak1121",1726,1722,1687,1285,1292,675,1583,1521,1309,1168,1287,599
"peak1122",392,222,156,73,60,44,297,190,103,77,58,43
"peak1123",52,29,83,73,162,191,37,42,58,104,141,217
"peak1124",301,225,162,72,66,10,225,150,122,84,55,14
"peak1125",137,106,46,15,26,15,106,40,25,24,17,3
"peak1126",69,50,50,28,28,38,49,46,47,33,24,34
"peak1127",187,131,87,63,122,232,137,61,109,91,135,368
"peak1128",39,62,98,208,329,382,20,31,72,190,310,395
"peak1129",529,321,188,61,63,11,461,247,168,94,38,33
"peak1130",280,211,123,48,32,5,214,141,88,42,14,8
"peak1131",241,188,109,46,32,9,194,119,95,52,30,9
"peak1132",625,510,338,166,86,81,510,424,274,144,77,58
"peak1133",163,100,47,17,8,13,161,95,40,18,22,12
"peak1134",224,200,93,27,13,11,190,142,95,32,10,18
"peak1135",168,171,99,41,39,15,194,137,99,37,42,23
"peak1136",165,117,69,20,16,8,102,98,55,42,28,8
"peak1137",345,187,123,66,69,44,285,177,110,71,81,28
"peak1138",220,229,159,43,26,11,167,134,152,68,13,10
"peak1139",123,72,45,27,49,181,59,54,54,40,56,228
"peak1140",334,188,206,146,211,449,237,178,168,150,183,509
"peak1141",191,97,71,33,35,5,159,81,48,39,8,13
"peak1142",114,108,64,9,7,7,106,53,59,7,4,4
"peak1143",303,240,140,86,37,15,206,166,125,43,23,14
"peak1144",281,236,175,88,115,117,226,140,149,142,135,102
"peak1145",9,16,15,18,58,122,6,15,13,35,40,161
"peak1146",12,15,26,58,106,185,16,21,17,58,115,223
"peak1147",456,395,315,308,334,279,405,323,300,318,298,282
"peak1148",349,237,149,112,150,242,243,140,127,98,139,243
"peak1149",193,140,78,29,12,10,126,104,83,24,9,3
"peak1150",310,250,204,72,48,33,261,175,113,85,66,31
"peak1151",372,288,170,66,40,14,304,202,187,76,51,14
"peak1152",137,133,96,40,19,21,129,100,63,44,25,17
"peak1153",134,111,97,39,48,23,157,71,70,49,42,9
"peak1154",629,386,147,52,23,19,498,313,139,59,30,39
"peak1155",742,681,390,224,193,112,758,539,377,222,208,116
"peak1156",795,746,401,186,185,19,782,621,388,223,169,30
"peak1157",179,111,62,35,41,10,142,62,33,24,24,9
"peak1158",156,105,43,14,9,5,112,74,41,20,7,18
"peak1159",239,145,81,6,10,16,177,98,53,21,18,16
"peak1160",328,293,286,178,131,51,317,264,251,183,115,54
"peak1161",821,646,431,195,88,29,713,484,367,212,80,32
"peak1162",354,276,169,47,46,29,312,246,157,58,36,17
"peak1163",192,148,84,32,20,8,158,117,62,37,14,10
"peak1164",82,87,46,39,64,156,94,54,24,27,84,211
"peak1165",181,130,70,34,27,9,182,89,60,30,20,15
"peak1166",170,136,86,51,48,15,150,61,80,65,41,14
"peak1167",187,113,78,14,10,7,138,58,49,44,16,11
"peak1168",20,19,17,11,80,272,15,12,11,22,90,318
"peak1169",21,19,40,42,74,148,11,27,30,66,57,197
"peak1170",1370,1371,1290,919,1450,1225,1207,1103,933,934,1296,1240
"peak1171",296,276,164,103,83,32,226,155,179,162,105,21
"peak1172",1615,1392,1128,799,1075,867,1270,1087,979,913,972,818
"peak1173",317,176,115,54,27,14,243,118,93,47,14,24
"peak1174",376,211,113,26,27,26,306,158,91,36,18,33
"peak1175",434,442,202,60,29,16,490,355,196,80,24,16
"peak1176",7,20,38,56,80,105,18,23,34,62,84,155
"peak1177",245,147,103,86,40,21,173,121,69,47,45,13
"peak1178",631,592,411,247,284,78,599,476,366,299,245,50
"peak1179",104,97,33,14,17,24,92,64,53,34,28,15
"peak1180",27,25,66,120,163,86,14,28,35,131,181,81
"peak1181",1208,1145,952,761,1007,844,1041,910,764,763,872,823
"peak1182",111,78,60,49,105,174,97,69,34,59,113,210
"peak1183",243,213,201,69,60,21,193,190,111,99,86,24
"peak1184",16,11,11,17,56,180,8,7,13,21,69,202
"peak1185",138,90,51,22,15,8,154,71,48,12,7,12
"peak1186",195,170,123,78,80,38,146,127,98,82,61,60
"peak1187",772,775,668,461,472,332,700,618,525,500,450,387
"peak1188",247,113,80,52,51,41,159,106,78,47,22,46
"peak1189",140,116,69,30,15,14,117,83,51,26,21,19
"peak1190",162,133,83,100,89,64,118,121,76,100,88,75
"peak1191",497,417,236,89,38,15,482,333,240,73,39,20
"peak1192",521,491,295,174,133,61,505,371,298,178,131,64
"peak1193",374,323,193,49,62,43,378,274,153,79,45,38
"peak1194",739,592,354,125,76,49,783,488,372,121,87,50
"peak1195",229,187,107,39,46,23,214,137,103,74,50,16
"peak1196",122,231,345,462,759,714,118,167,323,402,684,809
"peak1197",446,426,367,302,350,288,367,308,310,274,324,295
"peak1198",408,329,206,104,56,23,325,234,145,115,69,16
"peak1199",295,286,146,34,22,12,236,185,112,37,6,8
"peak1200",193,152,63,14,15,11,168,75,36,17,17,6
"peak1201",380,296,322,352,361,285,290,315,374,291,293,315
"peak1202",106,106,42,13,5,5,111,36,33,11,11,6
"peak1203",45,38,26,29,70,153,32,20,14,32,85,186
"peak1204",85,81,92,132,192,233,54,53,82,97,249,246
"peak1205",16,20,32,40,56,103,12,10,13,40,60,111
"peak1206",11,31,53,76,116,102,20,27,31,70,121,103
"peak1207",51,70,74,73,157,163,63,49,75,79,151,190
"peak1208",162,142,85,61,26,8,167,122,70,43,37,11
"peak1209",155,133,79,43,31,28,146,113,80,29,29,8
"peak1210",12,14,42,39,76,140,9,10,23,41,91,189
"peak1211",410,288,187,134,77,51,334,203,156,139,80,47
"peak1212",154,124,100,102,181,202,113,89,88,102,165,262
"peak1213",128,72,46,8,16,10,107,62,40,19,11,12
"peak1214",178,111,66,18,12,17,169,116,48,26,17,23
"peak1215",57,44,21,17,11,3,23,43,19,19,13,11
"peak1216",376,315,168,87,74,27,270,228,139,104,75,17
"peak1217",54,55,67,70,123,154,29,23,36,56,89,211
"peak1218",532,714,689,504,671,410,580,536,556,524,562,387
"peak1219",55,50,19,22,19,17,44,33,35,13,27,18
"peak1220",41,24,28,40,86,122,28,20,18,40,92,149
"peak1221",442,334,209,83,54,34,354,265,204,64,65,46
"peak1222",136,185,179,186,342,309,112,105,150,227,419,248
"peak1223",127,129,172,126,152,31,121,113,147,138,123,19
"peak1224",301,217,173,61,58,32,251,179,132,74,56,29
"peak1225",118,109,74,36,29,30,96,66,61,38,34,38
"peak1226",84,59,80,58,67,56,60,50,56,51,52,49
"peak1227",332,249,193,87,59,47,279,184,127,61,61,62
"peak1228",253,176,136,39,27,27,213,142,101,51,21,42
"peak1229",53,20,53,55,58,131,36,39,49,55,74,149
"peak1230",184,106,66,37,23,18,138,74,48,35,15,20
"peak1231",407,320,187,95,68,27,404,278,164,99,82,20
"peak1232",212,159,125,82,79,46,176,123,81,58,83,54
"peak1233",396,283,202,151,166,99,296,265,170,192,173,118
"peak1234",170,111,44,16,17,12,129,77,49,34,18,12
"peak1235",335,250,173,170,220,162,281,187,173,158,210,190
"peak1236",32,26,48,25,74,181,29,26,39,38,52,221
"peak1237",346,239,163,87,110,66,304,186,157,89,89,114
"peak1238",244,231,115,37,32,19,181,122,87,61,23,29
"peak1239",948,814,566,310,252,38,817,560,478,313,241,22
"peak1240",376,372,251,186,138,41,418,292,252,156,180,44
"peak1241",240,162,56,16,15,9,206,117,44,15,12,10
"peak1242",211,154,89,33,17,23,171,104,69,41,31,59
"peak1243",71,66,42,45,63,133,58,41,30,31,81,212
"peak1244",54,58,50,63,86,151,40,28,57,48,89,154
"peak1245",332,166,43,11,6,16,210,114,49,16,10,8
"peak1246",400,243,93,21,13,8,329,172,92,31,10,10
"peak1247",183,118,113,80,128,118,121,119,86,99,116,156
"peak1248",408,177,72,13,31,25,196,113,64,16,20,12
"peak1249",146,109,52,13,5,20,112,55,52,16,20,11
"peak1250",482,336,276,84,40,18,428,333,215,78,40,35
"peak1251",161,88,70,31,14,13,108,87,58,30,19,14
"peak1252",423,357,324,102,88,20,403,288,214,145,129,39
"peak1253",463,422,249,105,66,22,402,306,233,103,70,22
"peak1254",295,194,113,60,30,44,229,149,93,83,48,43
"peak1255",79,99,167,195,277,241,71,83,125,213,237,258
"peak1256",481,343,233,126,95,23,315,246,249,126,95,35
"peak1257",467,405,175,77,38,24,333,231,171,87,51,26
"peak1258",168,84,54,21,40,12,105,86,44,23,23,21
"peak1259",78,82,68,74,101,220,68,65,54,62,112,326
"peak1260",39,35,37,59,213,503,28,32,35,66,208,565
"peak1261",130,87,57,15,21,19,123,59,54,13,21,31
"peak1262",388,461,298,222,350,365,424,354,299,282,356,444
"peak1263",666,733,556,332,242,86,651,589,456,369,234,71
"peak1264",26,20,31,33,52,140,24,16,17,26,42,176
"peak1265",164,134,53,41,24,55,187,102,63,56,32,72
"peak1266",227,154,102,85,178,275,178,111,92,90,206,367
"peak1267",63,65,31,26,95,99,57,48,60,51,106,92
"peak1268",123,87,50,33,100,167,94,75,74,57,91,213
"peak1269",71,68,73,34,55,38,58,60,61,49,46,40
"peak1270",560,537,455,368,661,815,641,446,404,408,669,1030
"peak1271",277,225,120,34,10,10,260,212,103,41,13,16
"peak1272",338,142,77,13,32,72,184,126,41,27,34,104
"peak1273",26,36,66,119,176,145,34,32,48,129,193,147
"peak1274",41,77,165,192,306,145,51,70,116,191,272,138
"peak1275",100,92,82,47,78,85,57,49,65,53,72,124
"peak1276",108,94,56,12,22,13,69,51,51,12,11,18
"peak1277",181,225,247,160,211,43,171,149,229,193,225,39
"peak1278",112,97,97,30,22,8,129,76,55,60,25,15
"peak1279",434,376,181,103,85,56,372,267,181,84,99,46
"peak1280",1079,895,421,132,54,17,1024,740,399,125,40,19
"peak1281",26,23,36,68,142,201,19,34,42,67,152,269
"peak1282",579,453,349,271,148,52,441,349,276,195,161,53
"peak1283",115,79,91,60,97,89,85,61,49,60,71,102
"peak1284",139,73,54,30,14,10,118,72,44,17,25,16
"peak1285",53,49,55,87,155,275,39,53,60,82,139,347
"peak1286",924,1016,859,762,980,677,860,837,853,725,930,645
"peak1287",22,38,98,169,306,452,19,33,72,173,272,543
"peak1288",76,54,50,73,113,152,52,51,62,67,82,183
"peak1289",61,154,272,378,485,513,64,124,254,323,503,618
"peak1290",91,143,295,423,638,525,93,126,217,418,598,689
"peak1291",296,260,114,44,47,14,320,142,76,38,42,21
"peak1292",231,235,228,150,149,51,168,174,168,124,154,93
"peak1293",141,92,48,20,17,12,128,81,43,22,24,29
"peak1294",176,140,106,61,81,9,211,123,115,76,55,27
"peak1295",737,596,390,193,150,50,588,411,325,234,118,40
"peak1296",396,284,129,45,22,13,335,176,85,37,24,17
"peak1297",700,616,383,238,166,82,554,409,369,235,199,75
"peak1298",7,18,72,78,113,30,7,37,60,120,107,30
"peak1299",110,108,124,111,219,362,80,71,115,121,250,390
"peak1300",110,138,165,230,470,577,109,115,195,258,432,535
"peak1301",39,24,40,69,168,267,27,32,45,78,160,350
"peak1302",428,339,176,104,192,434,364,243,129,121,158,588
"peak1303",251,225,170,104,73,40,196,234,156,112,78,29
"peak1304",165,116,67,46,72,29,125,63,81,57,61,34
"peak1305",30,28,35,50,76,133,15,23,33,66,88,170
"peak1306",71,61,94,144,235,348,55,68,98,188,245,399
"peak1307",46,72,50,57,94,131,81,31,41,40,75,151
"peak1308",67,37,34,25,59,131,54,30,37,36,48,175
"peak1309",196,98,62,37,23,13,130,84,56,37,32,19
"peak1310",977,1076,939,726,934,569,880,772,832,696,926,454
"peak1311",58,57,99,110,116,85,32,38,71,105,70,48
"peak1312",129,90,63,55,86,116,102,65,52,46,103,162
"peak1313",224,170,136,69,64,26,229,149,107,70,66,16
"peak1314",130,93,43,21,19,7,116,66,38,8,15,14
"peak1315",20,37,48,53,157,131,22,27,27,90,198,133
"peak1316",31,50,93,100,121,86,43,41,58,106,119,101
"peak1317",465,241,121,36,31,35,299,178,116,55,42,17
"peak1318",188,103,80,28,17,23,151,89,48,13,17,15
"peak1319",184,173,165,198,212,335,184,102,117,152,199,437
"peak1320",697,723,630,547,623,417,619,661,579,515,551,486
"peak1321",82,97,76,68,112,159,52,68,42,76,129,190
"peak1322",72,53,61,72,157,219,55,45,81,73,157,283
"peak1323",35,26,53,61,105,134,24,33,44,79,109,149
"peak1324",367,346,194,83,56,33,349,285,197,118,51,44
"peak1325",373,227,145,71,40,43,339,219,132,74,55,38
"peak1326",287,212,109,34,14,23,266,118,70,51,25,29
"peak1327",322,334,204,85,90,54,308,199,159,113,80,62
"peak1328",138,73,42,12,4,13,132,84,25,27,11,9
"peak1329",1337,1650,1671,1270,1876,1679,1383,1322,1306,1302,1647,1446
"peak1330",1013,1189,1234,995,1457,1175,914,1017,896,882,1213,1111
"peak1331",1077,1346,1374,1375,1915,1560,1026,1048,1178,1458,1745,1394
"peak1332",84,105,176,201,384,448,56,97,155,231,399,487
"peak1333",88,72,56,53,98,192,63,45,53,55,137,217
"peak1334",387,223,112,33,30,25,266,151,110,52,24,38
"peak1335",378,291,235,103,71,35,284,174,182,117,81,29
"peak1336",9,21,13,5,27,183,18,10,13,13,25,262
"peak1337",3326,3345,3124,2503,3288,2597,2860,2651,2444,2258,2852,2378
"peak1338",55,42,41,49,50,116,84,45,54,55,66,135
"peak1339",231,148,71,23,28,42,149,113,63,30,36,38
"peak1340",263,228,184,122,98,46,201,191,184,133,107,56
"peak1341",348,200,103,38,18,17,250,137,80,31,26,25
"peak1342",288,199,157,71,56,23,270,144,124,94,66,21
"peak1343",251,205,157,120,199,361,197,148,116,156,260,437
"peak1344",190,143,74,17,20,15,175,110,63,18,28,25
"peak1345",173,54,40,20,19,16,113,40,38,15,14,13
"peak1346",597,548,291,99,56,53,583,444,254,132,63,75
"peak1347",149,91,52,34,26,26,128,95,50,27,16,18
"peak1348",1652,1780,1750,1395,1935,1256,1563,1349,1477,1409,1764,1275
"peak1349",7,28,30,34,78,132,6,15,26,35,65,130
"peak1350",113,74,64,17,25,11,89,62,24,22,25,33
"peak1351",492,446,210,92,60,19,429,324,232,74,54,21
"peak1352",203,134,75,36,36,24,186,100,76,20,18,36
"peak1353",415,355,246,91,97,46,442,347,207,114,58,57
"peak1354",288,171,88,23,15,12,210,135,61,27,24,16
"peak1355",231,164,182,119,136,333,219,145,164,137,154,479
"peak1356",1839,1704,1471,974,1381,844,1606,1447,1319,1015,1347,726
"peak1357",172,177,136,145,260,289,120,145,138,168,248,352
"peak1358",430,402,365,260,263,181,406,284,314,283,260,180
"peak1359",133,92,71,33,10,13,125,73,48,31,18,4
"peak1360",575,666,556,390,350,274,499,573,474,397,368,245
"peak1361",183,195,238,252,372,472,212,165,172,231,375,518
"peak1362",374,254,175,103,135,73,251,177,118,141,162,89
"peak1363",207,137,43,14,15,10,137,80,60,17,20,18
"peak1364",222,206,103,57,80,21,163,114,99,87,40,22
"peak1365",438,213,94,33,23,17,322,149,96,33,17,18
"peak1366",77,56,30,23,23,12,73,36,31,21,13,17
"peak1367",123,64,41,22,12,10,104,58,29,15,11,12
"peak1368",269,150,136,80,103,20,166,101,74,90,107,32
"peak1369",360,303,195,129,83,33,335,258,174,86,80,38
"peak1370",1674,1586,1334,1034,1325,1000,1412,1269,1174,1025,1213,1021
"peak1371",271,206,133,75,121,119,296,159,117,105,84,197
"peak1372",160,167,74,25,12,12,167,96,68,40,13,15
"peak1373",664,670,463,343,478,379,585,500,462,387,520,338
"peak1374",316,398,448,374,605,416,289,330,349,441,563,416
"peak1375",1310,1561,1397,1122,1788,1745,1164,1212,1088,996,1623,1650
"peak1376",508,470,269,120,89,30,413,307,272,155,103,39
"peak1377",49,40,67,71,69,101,37,55,34,57,57,155
"peak1378",838,927,820,647,763,677,833,786,704,628,711,617
"peak1379",150,123,143,94,223,286,131,107,93,122,172,309
"peak1380",260,212,174,155,184,177,209,174,163,161,182,244
"peak1381",195,123,57,17,6,14,222,119,50,15,8,16
"peak1382",8,13,33,44,78,118,9,14,20,39,37,144
"peak1383",50,84,162,190,287,114,57,89,159,219,255,106
"peak1384",129,109,98,95,223,468,102,111,87,92,268,561
"peak1385",56,48,61,109,170,317,66,43,67,86,170,281
"peak1386",32,31,76,97,117,154,41,28,54,99,121,235
"peak1387",632,585,409,192,105,135,630,629,379,196,121,139
"peak1388",169,109,46,14,10,10,148,89,52,20,22,14
"peak1389",246,200,70,38,54,79,299,163,84,42,47,104
"peak1390",137,133,117,78,73,31,173,138,97,102,81,41
"peak1391",249,233,233,235,291,197,189,173,215,266,271,206
"peak1392",171,239,256,128,131,36,182,211,169,152,129,35
"peak1393",49,53,89,93,82,172,28,58,85,110,90,280
"peak1394",127,101,85,30,20,15,114,91,63,26,13,15
"peak1395",546,541,465,311,374,230,497,456,413,312,377,264
"peak1396",190,200,96,27,10,23,211,127,97,39,18,39
"peak1397",346,178,73,28,23,13,256,156,74,30,10,14
"peak1398",210,161,93,45,30,23,137,112,80,70,25,16
"peak1399",295,203,118,31,30,7,220,171,94,53,19,21
"peak1400",171,141,82,32,30,14,117,108,68,56,43,19
"peak1401",713,764,684,607,740,633,661,609,554,561,636,624
"peak1402",133,144,105,95,114,261,140,107,100,111,141,412
"peak1403",472,367,275,117,116,37,275,211,227,154,92,55
"peak1404",578,382,160,41,15,26,401,214,150,36,40,24
"peak1405",72,45,47,46,65,105,57,51,43,35,42,155
"peak1406",204,164,134,103,102,73,182,110,133,105,114,51
"peak1407",124,89,58,19,15,18,109,105,57,25,18,4
"peak1408",709,601,415,192,156,52,565,454,370,227,185,36
"peak1409",202,156,82,52,54,19,182,98,59,54,35,37
"peak1410",12,10,32,29,65,104,10,18,17,33,50,154
"peak1411",513,394,307,158,197,100,378,310,254,196,132,98
