Year,Kingdom,Phylum,Class,Species,Tcode,KEGGId,RefSeq
2013,Bacteria,Firmicutes - Bacilli,Streptococcus,Streptococcus pneumoniae SPN034156 (serotype 3),T02628,spne,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/210/995/GCA_000210995.1_ASM21099v1
2012,Bacteria,Firmicutes - Bacilli,Streptococcus,Streptococcus pneumoniae gamPNI0373 (virulent serotype 1),T02334,spng,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/299/015/GCA_000299015.1_ASM29901v1
2013,Bacteria,Firmicutes - Bacilli,Streptococcus,Streptococcus pneumoniae SPN994038 (serotype 3),T02630,spnm,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/211/035/GCA_000211035.2_ASM21103v2
2013,Bacteria,Firmicutes - Bacilli,Streptococcus,Streptococcus pneumoniae A026 (serotype 19F),T02890,spnn,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/494/795/GCA_000494795.1_ASM49479v1
2013,Bacteria,Firmicutes - Bacilli,Streptococcus,Streptococcus pneumoniae SPN994039 (serotype 3),T02631,spno,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/211/055/GCA_000211055.2_ASM21105v2
2013,Bacteria,Firmicutes - Bacilli,Streptococcus,Streptococcus pneumoniae SPN034183 (serotype 3),T02629,spnu,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/211/015/GCA_000211015.1_ASM21101v1
2009,Bacteria,Firmicutes - Bacilli,Streptococcus,Streptococcus pneumoniae P1031 (serotype 1),T00874,spp,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/019/005/GCA_000019005.1_ASM1900v1
2001,Bacteria,Firmicutes - Bacilli,Streptococcus,Streptococcus pneumoniae R6 (avirulent serotype 2),T00060,spr,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/007/045/GCF_000007045.1_ASM704v1
2003,Bacteria,Firmicutes - Bacilli,Streptococcus,Streptococcus pyogenes SSI-1 (serotype M3),T00119,sps,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/011/285/GCA_000011285.1_ASM1128v1
2008,Bacteria,Firmicutes - Bacilli,Streptococcus,Streptococcus pneumoniae Hungary19A 6 (serotype 19A),T00658,spv,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/019/265/GCA_000019265.1_ASM1926v1
2008,Bacteria,Firmicutes - Bacilli,Streptococcus,Streptococcus pneumoniae CGSP14 (serotype 14),T00690,spw,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/019/985/GCA_000019985.1_ASM1998v1
2008,Bacteria,Firmicutes - Bacilli,Streptococcus,Streptococcus pneumoniae G54 (serotype 19F),T00734,spx,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/019/825/GCA_000019825.1_ASM1982v1
2001,Bacteria,Firmicutes - Bacilli,Streptococcus,Streptococcus pyogenes M1 GAS (serotype M1),T00050,spy,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/006/785/GCF_000006785.2_ASM678v2
2012,Bacteria,Firmicutes - Bacilli,Streptococcus,Streptococcus pyogenes A20 (serotype M1),T02335,spya,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/307/535/GCA_000307535.1_ASM30753v1
2013,Bacteria,Firmicutes - Bacilli,Streptococcus,Streptococcus pyogenes HSC5 (serotype M14),T02743,spyh,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/422/045/GCA_000422045.1_ASM42204v1
2013,Bacteria,Firmicutes - Bacilli,Streptococcus,Streptococcus pyogenes M1 476 (serotype M1),T02499,spym,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/349/925/GCA_000349925.2_ASM34992v2
2014,Bacteria,Firmicutes - Bacilli,Streptococcus,Streptococcus pyogenes STAB901 (serotype M44),T03472,spyo,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/732/385/GCA_000732385.1_ASM73238v1
2005,Bacteria,Firmicutes - Bacilli,Streptococcus,Streptococcus pyogenes MGAS5005 (serotype M1),T00262,spz,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/011/765/GCA_000011765.2_ASM1176v2
2012,Bacteria,Firmicutes - Bacilli,Streptococcus,Streptococcus suis ST1 (serotype 1),T02125,srp,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/231/925/GCA_000231925.1_ASM23192v1
2019,Bacteria,Firmicutes - Bacilli,Streptococcus,Streptococcus ruminantium,T05916,srq,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/609/975/GCA_003609975.1_ASM360997v1
2007,Bacteria,Firmicutes - Bacilli,Streptococcus,Streptococcus sanguinis,T00473,ssa,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/014/205/GCF_000014205.1_ASM1420v1
2017,Bacteria,Firmicutes - Bacilli,Streptococcus,Streptococcus salivarius HSISS4,T04634,ssah,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/448/685/GCA_000448685.2_ASM44868v2
2009,Bacteria,Firmicutes - Bacilli,Streptococcus,Streptococcus suis BM407 (serotype 2),T00935,ssb,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/026/745/GCF_000026745.1_ASM2674v1
2012,Bacteria,Firmicutes - Bacilli,Streptococcus,Streptococcus suis A7 (serotype 2),T02020,ssf,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/233/575/GCA_000233575.1_ASM23357v1
2009,Bacteria,Firmicutes - Bacilli,Streptococcus,Streptococcus suis P1/7 (serotype 2),T00936,ssi,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/091/905/GCA_000091905.1_ASM9190v1
2012,Bacteria,Firmicutes - Bacilli,Streptococcus,Streptococcus suis D12 (serotype 9),T02021,ssk,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/231/905/GCA_000231905.1_ASM23190v1
2018,Bacteria,Firmicutes - Bacilli,Streptococcus,Streptococcus sobrinus,T05567,ssob,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/172/975/GCA_003172975.1_ASM317297v1
2012,Bacteria,Firmicutes - Bacilli,Streptococcus,Streptococcus suis D9 (serotype 7),T02022,ssq,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/231/885/GCA_000231885.1_ASM23188v1
2011,Bacteria,Firmicutes - Bacilli,Streptococcus,Streptococcus salivarius CCHSS3,T01580,ssr,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/253/335/GCA_000253335.1_ASM25333v1
2009,Bacteria,Firmicutes - Bacilli,Streptococcus,Streptococcus suis SC84 (serotype 2),T00937,sss,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/026/725/GCA_000026725.1_ASM2672v1
2011,Bacteria,Firmicutes - Bacilli,Streptococcus,Streptococcus suis ST3 (serotype 3),T01470,sst,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/204/625/GCA_000204625.1_ASM20462v1
2007,Bacteria,Firmicutes - Bacilli,Streptococcus,Streptococcus suis 05ZYH33 (serotype 2),T00514,ssu,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/014/305/GCA_000014305.1_ASM1430v1
2013,Bacteria,Firmicutes - Bacilli,Streptococcus,Streptococcus suis T15,T02891,ssui,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/494/895/GCA_000494895.1_ASM49489v1
2013,Bacteria,Firmicutes - Bacilli,Streptococcus,Streptococcus suis SC070731 (serotype 2),T02536,ssus,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/344/765/GCA_000344765.1_ASM34476v1
2013,Bacteria,Firmicutes - Bacilli,Streptococcus,Streptococcus suis TL13 (serotype 16),T02672,ssut,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/390/245/GCA_000390245.1_ASM39024v1
2014,Bacteria,Firmicutes - Bacilli,Streptococcus,Streptococcus suis YB51 (serotype 3),T03173,ssuy,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/471/985/GCA_000471985.1_ASM47198v1
2007,Bacteria,Firmicutes - Bacilli,Streptococcus,Streptococcus suis 98HAH33 (serotype 2),T00515,ssv,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/014/325/GCA_000014325.1_ASM1432v1
2012,Bacteria,Firmicutes - Bacilli,Streptococcus,Streptococcus suis GZ1 (serotype 2),T02023,ssw,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/018/185/GCA_000018185.1_ASM1818v1
2011,Bacteria,Firmicutes - Bacilli,Streptococcus,Streptococcus pasteurianus,T01524,stb,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/270/165/GCA_000270165.1_ASM27016v1
2004,Bacteria,Firmicutes - Bacilli,Streptococcus,Streptococcus thermophilus CNRZ1066,T00212,stc,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/011/845/GCA_000011845.1_ASM1184v1
2011,Bacteria,Firmicutes - Bacilli,Streptococcus,Streptococcus pseudopneumoniae,T01590,std,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/221/985/GCA_000221985.1_ASM22198v1
2006,Bacteria,Firmicutes - Bacilli,Streptococcus,Streptococcus thermophilus LMD-9,T00414,ste,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/014/485/GCA_000014485.1_ASM1448v1
2012,Bacteria,Firmicutes - Bacilli,Streptococcus,Streptococcus salivarius 57.I,T02088,stf,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/305/335/GCA_000305335.2_ASM30533v2
2012,Bacteria,Firmicutes - Bacilli,Streptococcus,Streptococcus pyogenes MGAS15252 (serotype M59),T01794,stg,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/250/905/GCA_000250905.1_ASM25090v1
2014,Bacteria,Firmicutes - Bacilli,Streptococcus,Streptococcus thermophilus ASCC 1275,T03360,sthe,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/698/885/GCA_000698885.1_ASM69888v1
2017,Bacteria,Firmicutes - Bacilli,Streptococcus,Streptococcus thermophilus S9,T04785,sths,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/514/435/GCA_001514435.1_ASM151443v1
2012,Bacteria,Firmicutes - Bacilli,Streptococcus,Streptococcus salivarius JIM8777,T02089,stj,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/253/315/GCA_000253315.1_ASM25331v1
2011,Bacteria,Firmicutes - Bacilli,Streptococcus,Streptococcus parauberis,T01504,stk,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/213/825/GCA_000213825.1_ASM21382v1
2004,Bacteria,Firmicutes - Bacilli,Streptococcus,Streptococcus thermophilus LMG 18311,T00213,stl,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/011/825/GCA_000011825.1_ASM1182v1
2012,Bacteria,Firmicutes - Bacilli,Streptococcus,Streptococcus thermophilus ND03,T01978,stn,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/182/875/GCA_000182875.1_ASM18287v1
2018,Bacteria,Firmicutes - Bacilli,Streptococcus,Streptococcus sp. A12,T05522,stra,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/587/175/GCA_001587175.1_ASM158717v1
2018,Bacteria,Firmicutes - Bacilli,Streptococcus,Streptococcus sp. NPS 308,T05541,strn,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/355/895/GCA_002355895.1_ASM235589v1
2015,Bacteria,Firmicutes - Bacilli,Streptococcus,Streptococcus salivarius NCTC 8618,T03511,strs,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/785/515/GCA_000785515.1_ASM78551v1
2012,Bacteria,Firmicutes - Bacilli,Streptococcus,Streptococcus thermophilus JIM 8232,T02026,stu,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/253/395/GCA_000253395.1_ASM25339v1
2014,Bacteria,Firmicutes - Bacilli,Streptococcus,Streptococcus sp. VT 162,T03287,stv,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/688/775/GCA_000688775.2_ASM68877v2
2012,Bacteria,Firmicutes - Bacilli,Streptococcus,Streptococcus thermophilus MN-ZLW-002,T02116,stw,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/262/675/GCA_000262675.1_ASM26267v1
2012,Bacteria,Firmicutes - Bacilli,Streptococcus,Streptococcus pyogenes MGAS1882 (serotype M59),T02062,stx,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/250/925/GCA_000250925.1_ASM25092v1
2012,Bacteria,Firmicutes - Bacilli,Streptococcus,Streptococcus pyogenes Alab49 (serotype M53),T02019,stz,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/230/295/GCA_000230295.1_ASM23029v1
2009,Bacteria,Firmicutes - Bacilli,Streptococcus,Streptococcus uberis,T00849,sub,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/009/545/GCA_000009545.1_ASM954v1
2012,Bacteria,Firmicutes - Bacilli,Streptococcus,Streptococcus suis JS14 (serotype 14),T02024,sui,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/186/405/GCA_000186405.1_ASM18640v1
2012,Bacteria,Firmicutes - Bacilli,Streptococcus,Streptococcus suis SS12 (serotype 1/2),T02025,suo,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/231/865/GCA_000231865.1_ASM23186v1
2012,Bacteria,Firmicutes - Bacilli,Streptococcus,Streptococcus suis S735 (serotype 2),T02214,sup,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/294/495/GCA_000294495.1_ASM29449v1
2014,Bacteria,Firmicutes - Bacilli,Terribacillus,Terribacillus goriensis,T03216,tap,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/725/365/GCA_000725365.1_ASM72536v1
2011,Bacteria,Firmicutes - Bacilli,Tetragenococcus,Tetragenococcus halophilus,T01640,thl,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/283/615/GCA_000283615.1_ASM28361v1
2018,Bacteria,Firmicutes - Bacilli,Tetragenococcus,Tetragenococcus koreensis,T05710,tkr,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/795/145/GCA_003795145.1_ASM379514v1
2018,Bacteria,Firmicutes - Bacilli,Tetragenococcus,Tetragenococcus osmophilus,T05711,too,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/795/125/GCA_003795125.1_ASM379512v1
2019,Bacteria,Firmicutes - Bacilli,Thermoactinomyces,Thermoactinomyces vulgaris,T05864,tvu,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/187/615/GCA_001187615.2_ASM118761v2
2012,Bacteria,Firmicutes - Bacilli,Thermobacillus,Thermobacillus composti,T02394,tco,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/227/705/GCA_000227705.3_ASM22770v3
2017,Bacteria,Firmicutes - Bacilli,Tumebacillus,Tumebacillus algifaecis,T04994,tab,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/243/515/GCA_002243515.1_ASM224351v1
2017,Bacteria,Firmicutes - Bacilli,Tumebacillus,Tumebacillus avium,T04874,tum,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/162/355/GCA_002162355.1_ASM216235v1
2018,Bacteria,Firmicutes - Bacilli,Unclassified Aerococcaceae,Aerococcaceae bacterium ZY16052,T05652,abae,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/546/865/GCA_003546865.1_ASM354686v1
2010,Bacteria,Firmicutes - Bacilli,Unclassified Sporolactobacillaceae,Bacillus selenitireducens,T01243,bse,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/093/085/GCA_000093085.1_ASM9308v1
2019,Bacteria,Firmicutes - Bacilli,Vagococcus,Vagococcus sp. CF-49,T05932,vac,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/792/515/GCA_004792515.1_ASM479251v1
2019,Bacteria,Firmicutes - Bacilli,Vagococcus,Vagococcus sp. MN-17,T05965,vao,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/145/005/GCA_005145005.1_ASM514500v1
2017,Bacteria,Firmicutes - Bacilli,Vagococcus,Vagococcus penaei,T04715,vpi,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/998/885/GCA_001998885.1_ASM199888v1
2016,Bacteria,Firmicutes - Bacilli,Vagococcus,Vagococcus teuberi,T04578,vte,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/870/205/GCA_001870205.1_ASM187020v1
2016,Bacteria,Firmicutes - Bacilli,Virgibacillus,Virgibacillus halodenitrificans,T04548,vhl,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/878/675/GCA_001878675.1_ASM187867v1
2017,Bacteria,Firmicutes - Bacilli,Virgibacillus,Virgibacillus sp. 6R,T04596,vig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/895/305/GCA_001895305.1_ASM189530v1
2017,Bacteria,Firmicutes - Bacilli,Virgibacillus,Virgibacillus phasianinus,T04951,vil,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/216/775/GCA_002216775.1_ASM221677v1
2014,Bacteria,Firmicutes - Bacilli,Virgibacillus,Virgibacillus sp. SK37,T03219,vir,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/725/285/GCA_000725285.1_ASM72528v1
2017,Bacteria,Firmicutes - Bacilli,Virgibacillus,Virgibacillus necropolis,T04976,vne,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/224/365/GCA_002224365.1_ASM222436v1
2018,Bacteria,Firmicutes - Bacilli,Virgibacillus,Virgibacillus dokdonensis,T05261,vpn,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/849/835/GCA_002849835.1_ASM284983v1
2016,Bacteria,Firmicutes - Bacilli,Weissella,Weissella cibaria,T04106,wcb,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/308/145/GCA_001308145.2_ASM130814v2
2014,Bacteria,Firmicutes - Bacilli,Weissella,Weissella ceti WS08,T03228,wce,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/732/905/GCA_000732905.1_ASM73290v1
2019,Bacteria,Firmicutes - Bacilli,Weissella,Weissella confusa,T05951,wcf,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/771/075/GCA_004771075.1_ASM477107v1
2014,Bacteria,Firmicutes - Bacilli,Weissella,Weissella ceti WS105,T03295,wci,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/750/535/GCA_000750535.1_ASM75053v1
2014,Bacteria,Firmicutes - Bacilli,Weissella,Weissella ceti WS74,T03280,wct,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/750/515/GCA_000750515.1_ASM75051v1
2017,Bacteria,Firmicutes - Bacilli,Weissella,Weissella jogaejeotgali,T04632,wjo,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/932/615/GCA_001932615.1_ASM193261v1
2011,Bacteria,Firmicutes - Bacilli,Weissella,Weissella koreensis,T01577,wko,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/219/805/GCA_000219805.1_ASM21980v1
2017,Bacteria,Firmicutes - Bacilli,Weissella,Weissella paramesenteroides,T05120,wpa,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/386/265/GCA_002386265.1_ASM238626v1
2019,Bacteria,Firmicutes - Bacilli,Weissella,Weissella soli,T06066,wso,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/761/545/GCA_001761545.1_ASM176154v1
2010,Bacteria,Firmicutes - Clostridia,Acetoanaerobium,Acetoanaerobium sticklandii,T01334,cst,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/196/455/GCA_000196455.1_ASM19645v1
2012,Bacteria,Firmicutes - Clostridia,Acetobacterium,Acetobacterium woodii,T01732,awo,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/247/605/GCA_000247605.1_ASM24760v1
2010,Bacteria,Firmicutes - Clostridia,Acetohalobium,Acetohalobium arabaticum,T01290,aar,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/144/695/GCA_000144695.1_ASM14469v1
2007,Bacteria,Firmicutes - Clostridia,Alkaliphilus,Alkaliphilus metalliredigens,T00551,amt,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/016/985/GCA_000016985.1_ASM1698v1
2007,Bacteria,Firmicutes - Clostridia,Alkaliphilus,Alkaliphilus oremlandii,T00607,aoe,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/018/325/GCA_000018325.1_ASM1832v1
2019,Bacteria,Firmicutes - Clostridia,Aminipila,Aminipila sp. JN-39,T05806,amij,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/103/735/GCA_004103735.1_ASM410373v1
2009,Bacteria,Firmicutes - Clostridia,Ammonifex,Ammonifex degensii,T00994,adg,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/024/605/GCA_000024605.1_ASM2460v1
2018,Bacteria,Firmicutes - Clostridia,Anaerobutyricum,Anaerobutyricum hallii,T05310,ehl,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/209/925/GCA_900209925.1_EH1
2019,Bacteria,Firmicutes - Clostridia,Anaerostipes,Anaerostipes rhamnosivorans,T05962,arf,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/280/655/GCA_005280655.1_ASM528065v1
2013,Bacteria,Firmicutes - Clostridia,Anaerostipes,Anaerostipes hadrus,T02612,bprl,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/210/695/GCA_000210695.1_ASM21069v1
2016,Bacteria,Firmicutes - Clostridia,Anaerotignum,Anaerotignum propionicum,T04574,cpro,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/561/955/GCA_001561955.1_ASM156195v1
2019,Bacteria,Firmicutes - Clostridia,Anoxybacter,Anoxybacter fermentans,T05768,aft,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/991/135/GCA_003991135.1_ASM399113v1
2011,Bacteria,Firmicutes - Clostridia,Arthromitus,Candidatus Arthromitus sp. SFB-rat-Yit,T01624,asb,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/283/555/GCA_000283555.1_ASM28355v1
2011,Bacteria,Firmicutes - Clostridia,Arthromitus,Candidatus Arthromitus sp. SFB-mouse-Japan,T01591,asf,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/270/205/GCA_000270205.1_ASM27020v1
2012,Bacteria,Firmicutes - Clostridia,Arthromitus,Candidatus Arthromitus sp. SFB-mouse-Yit,T01857,asm,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/284/435/GCA_000284435.1_ASM28443v1
2014,Bacteria,Firmicutes - Clostridia,Arthromitus,Candidatus Arthromitus sp. SFB-mouse-NL,T03243,aso,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/709/435/GCA_000709435.1_ASM70943v1
2017,Bacteria,Firmicutes - Clostridia,Blautia,Blautia hansenii,T05095,bhan,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/222/595/GCA_002222595.2_ASM222259v2
2018,Bacteria,Firmicutes - Clostridia,Blautia,Blautia sp. N6H1-15,T05518,blau,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/287/895/GCA_003287895.1_ASM328789v1
2019,Bacteria,Firmicutes - Clostridia,Blautia,Blautia producta,T05894,bpro,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/210/255/GCA_004210255.1_ASM421025v1
2016,Bacteria,Firmicutes - Clostridia,Blautia,Blautia sp. YL58,T04458,byl,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/689/125/GCA_001689125.2_ASM168912v2
2013,Bacteria,Firmicutes - Clostridia,Blautia,Blautia obeum,T02605,rob,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/210/015/GCA_000210015.1_ASM21001v1
2013,Bacteria,Firmicutes - Clostridia,Blautia,Ruminococcus torques,T02606,rto,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/210/035/GCA_000210035.1_ASM21003v1
2013,Bacteria,Firmicutes - Clostridia,Butyrivibrio,Butyrivibrio fibrisolvens,T02581,bfi,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/209/815/GCA_000209815.1_ASM20981v1
2016,Bacteria,Firmicutes - Clostridia,Butyrivibrio,Butyrivibrio hungatei,T04542,bhu,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/858/005/GCA_001858005.1_ASM185800v1
2010,Bacteria,Firmicutes - Clostridia,Butyrivibrio,Butyrivibrio proteoclasticus,T01292,bpb,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/145/035/GCA_000145035.1_ASM14503v1
2002,Bacteria,Firmicutes - Clostridia,Caldanaerobacter,Caldanaerobacter subterraneus subsp. tengcongensis,T00081,tte,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/085/GCA_000007085.1_ASM708v1
2009,Bacteria,Firmicutes - Clostridia,Caldicellulosiruptor,Caldicellulosiruptor bescii,T00857,ate,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/022/325/GCA_000022325.1_ASM2232v1
2019,Bacteria,Firmicutes - Clostridia,Caldicellulosiruptor,Caldicellulosiruptor changbaiensis,T05905,ccha,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/999/255/GCA_003999255.1_ASM399925v1
2010,Bacteria,Firmicutes - Clostridia,Caldicellulosiruptor,Caldicellulosiruptor hydrothermalis,T01346,chd,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/166/355/GCA_000166355.1_ASM16635v1
2010,Bacteria,Firmicutes - Clostridia,Caldicellulosiruptor,Caldicellulosiruptor kristjanssonii,T01356,cki,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/166/695/GCA_000166695.1_ASM16669v1
2010,Bacteria,Firmicutes - Clostridia,Caldicellulosiruptor,Caldicellulosiruptor kronotskyensis,T01357,ckn,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/166/775/GCA_000166775.1_ASM16677v1
2011,Bacteria,Firmicutes - Clostridia,Caldicellulosiruptor,Caldicellulosiruptor lactoaceticus,T01600,clc,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/193/435/GCA_000193435.3_ASM19343v3
2010,Bacteria,Firmicutes - Clostridia,Caldicellulosiruptor,Caldicellulosiruptor obsidiansis,T01293,cob,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/145/215/GCA_000145215.1_ASM14521v1
2010,Bacteria,Firmicutes - Clostridia,Caldicellulosiruptor,Caldicellulosiruptor owensensis,T01347,cow,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/166/335/GCA_000166335.1_ASM16633v1
2007,Bacteria,Firmicutes - Clostridia,Caldicellulosiruptor,Caldicellulosiruptor saccharolyticus,T00506,csc,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/016/545/GCA_000016545.1_ASM1654v1
