A,catalog,counts
Metabolism,K00956  cysN; sulfate adenylyltransferase subunit 1 [EC:2.7.7.4],1
Metabolism,K00957  cysD; sulfate adenylyltransferase subunit 2 [EC:2.7.7.4],1
Metabolism,"K01874  MARS, metG; methionyl-tRNA synthetase [EC:6.1.1.10]",2
Metabolism,K00681  ggt; gamma-glutamyltranspeptidase / glutathione hydrolase [EC:2.3.2.2 3.4.19.13],1
Metabolism,"K01424  E3.5.1.1, ansA, ansB; L-asparaginase [EC:3.5.1.1]",1
Metabolism,"K00600  glyA, SHMT; glycine hydroxymethyltransferase [EC:2.1.2.1]",2
Metabolism,K01776  murI; glutamate racemase [EC:5.1.1.3],3
Metabolism,K01925  murD; UDP-N-acetylmuramoylalanine--D-glutamate ligase [EC:6.3.2.9],2
Metabolism,"K01425  glsA, GLS; glutaminase [EC:3.5.1.2]",1
Metabolism,"K05597  aspQ, ansB, ansA; glutamin-(asparagin-)ase [EC:3.5.1.38]",1
Metabolism,"K00261  GLUD1_2, gdhA; glutamate dehydrogenase (NAD(P)+) [EC:1.4.1.3]",1
Metabolism,K01924  murC; UDP-N-acetylmuramate--alanine ligase [EC:6.3.2.8],2
Metabolism,K01775  alr; alanine racemase [EC:5.1.1.1],3
Metabolism,K01921  ddl; D-alanine-D-alanine ligase [EC:6.3.2.4],2
Metabolism,K00681  ggt; gamma-glutamyltranspeptidase / glutathione hydrolase [EC:2.3.2.2 3.4.19.13],1
Metabolism,K01919  gshA; glutamate--cysteine ligase [EC:6.3.2.2],4
Metabolism,"K01920  gshB, GSS; glutathione synthase [EC:6.3.2.3]",3
Metabolism,"K01255  CARP, pepA; leucyl aminopeptidase [EC:3.4.11.1]",1
Metabolism,K01256  pepN; aminopeptidase N [EC:3.4.11.2],2
Metabolism,K01270  pepD; dipeptidase D [EC:3.4.13.-],1
Metabolism,"K00031  IDH1, IDH2, icd; isocitrate dehydrogenase [EC:1.1.1.42]",2
Metabolism,"K01581  E4.1.1.17, ODC1, speC, speF; ornithine decarboxylase [EC:4.1.1.17]",1
Metabolism,K01207  nagZ; beta-N-acetylhexosaminidase [EC:3.2.1.52],1
Metabolism,K00677  lpxA; UDP-N-acetylglucosamine acyltransferase [EC:2.3.1.129],2
Metabolism,K02535  lpxC; UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase [EC:3.5.1.108],2
Metabolism,K02536  lpxD; UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase [EC:2.3.1.191],3
Metabolism,"K03269  lpxH; UDP-2,3-diacylglucosamine hydrolase [EC:3.6.1.54]",2
Metabolism,K00748  lpxB; lipid-A-disaccharide synthase [EC:2.4.1.182],2
Metabolism,K00912  lpxK; tetraacyldisaccharide 4'-kinase [EC:2.7.1.130],2
Metabolism,"K06041  kdsD, kpsF; arabinose-5-phosphate isomerase [EC:5.3.1.13]",2
Metabolism,K01627  kdsA; 2-dehydro-3-deoxyphosphooctonate aldolase (KDO 8-P synthase) [EC:2.5.1.55],2
Metabolism,K03270  kdsC; 3-deoxy-D-manno-octulosonate 8-phosphate phosphatase (KDO 8-P phosphatase) [EC:3.1.3.45],1
Metabolism,K00979  kdsB; 3-deoxy-manno-octulosonate cytidylyltransferase (CMP-KDO synthetase) [EC:2.7.7.38],2
Metabolism,"K02527  kdtA, waaA; 3-deoxy-D-manno-octulosonic-acid transferase [EC:2.4.99.12 2.4.99.13 2.4.99.14 2.4.99.15]",2
Metabolism,"K02517  lpxL, htrB; Kdo2-lipid IVA lauroyltransferase [EC:2.3.1.241]",1
Metabolism,"K03271  gmhA, lpcA; D-sedoheptulose 7-phosphate isomerase [EC:5.3.1.28]",1
Metabolism,"K03272  gmhC, hldE, waaE, rfaE; D-beta-D-heptose 7-phosphate kinase / D-beta-D-heptose 1-phosphate adenosyltransferase [EC:2.7.1.167 2.7.7.70]",1
Metabolism,"K03274  gmhD, rfaD; ADP-L-glycero-D-manno-heptose 6-epimerase [EC:5.1.3.20]",1
Metabolism,K07031  hddA; D-glycero-alpha-D-manno-heptose-7-phosphate kinase [EC:2.7.1.168],1
Metabolism,K15669  hddC; D-glycero-alpha-D-manno-heptose 1-phosphate guanylyltransferase [EC:2.7.7.71],1
Metabolism,"K02843  waaF, rfaF; heptosyltransferase II [EC:2.4.-.-]",1
Metabolism,K00790  murA; UDP-N-acetylglucosamine 1-carboxyvinyltransferase [EC:2.5.1.7],2
Metabolism,K00075  murB; UDP-N-acetylmuramate dehydrogenase [EC:1.3.1.98],2
Metabolism,K01924  murC; UDP-N-acetylmuramate--alanine ligase [EC:6.3.2.8],2
Metabolism,K01925  murD; UDP-N-acetylmuramoylalanine--D-glutamate ligase [EC:6.3.2.9],2
Metabolism,"K01928  murE; UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase [EC:6.3.2.13]",2
Metabolism,K01921  ddl; D-alanine-D-alanine ligase [EC:6.3.2.4],2
Metabolism,K01929  murF; UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase [EC:6.3.2.10],2
Metabolism,K06153  bacA; undecaprenyl-diphosphatase [EC:3.6.1.27],1
Metabolism,K01000  mraY; phospho-N-acetylmuramoyl-pentapeptide-transferase [EC:2.7.8.13],2
Metabolism,K02563  murG; UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase [EC:2.4.1.227],2
Metabolism,"K03980  murJ, mviN; putative peptidoglycan lipid II flippase",2
Metabolism,K03814  mtgA; monofunctional biosynthetic peptidoglycan transglycosylase [EC:2.4.1.-],1
Metabolism,K05366  mrcA; penicillin-binding protein 1A [EC:2.4.1.- 3.4.-.-],2
Metabolism,K05365  mrcB; penicillin-binding protein 1B [EC:2.4.1.129 3.4.-.-],1
Metabolism,K05515  mrdA; penicillin-binding protein 2,2
Metabolism,K03587  ftsI; cell division protein FtsI (penicillin-binding protein 3),2
Metabolism,"K07258  dacC, dacA, dacD; D-alanyl-D-alanine carboxypeptidase (penicillin-binding protein 5/6) [EC:3.4.16.4]",2
Metabolism,K03147  thiC; phosphomethylpyrimidine synthase [EC:4.1.99.17],2
Metabolism,K00941  thiD; hydroxymethylpyrimidine/phosphomethylpyrimidine kinase [EC:2.7.1.49 2.7.4.7],1
Metabolism,K14153  thiDE; hydroxymethylpyrimidine kinase / phosphomethylpyrimidine kinase / thiamine-phosphate diphosphorylase [EC:2.7.1.49 2.7.4.7 2.5.1.3],1
Metabolism,"K04487  iscS, NFS1; cysteine desulfurase [EC:2.8.1.7]",3
Metabolism,K03151  thiI; thiamine biosynthesis protein ThiI,1
Metabolism,K03153  thiO; glycine oxidase [EC:1.4.3.19],2
Metabolism,K01662  dxs; 1-deoxy-D-xylulose-5-phosphate synthase [EC:2.2.1.7],1
Metabolism,K03149  thiG; thiazole synthase [EC:2.8.1.10],2
Metabolism,K00878  thiM; hydroxyethylthiazole kinase [EC:2.7.1.50],1
Metabolism,K00788  thiE; thiamine-phosphate pyrophosphorylase [EC:2.5.1.3],1
Metabolism,K00946  thiL; thiamine-monophosphate kinase [EC:2.7.4.16],2
Metabolism,"K06949  rsgA, engC; ribosome biogenesis GTPase / thiamine phosphate phosphatase [EC:3.6.1.- 3.1.3.100]",1
Metabolism,"K00939  adk, AK; adenylate kinase [EC:2.7.4.3]",2
Metabolism,K03707  tenA; thiaminase (transcriptional activator TenA) [EC:3.5.99.2],1
Metabolism,"K01497  ribA, RIB1; GTP cyclohydrolase II [EC:3.5.4.25]",1
Metabolism,"K14652  ribBA; 3,4-dihydroxy 2-butanone 4-phosphate synthase / GTP cyclohydrolase II [EC:4.1.99.12 3.5.4.25]",3
Metabolism,K11752  ribD; diaminohydroxyphosphoribosylaminopyrimidine deaminase / 5-amino-6-(5-phosphoribosylamino)uracil reductase [EC:3.5.4.26 1.1.1.193],2
Metabolism,"K02858  ribB, RIB3; 3,4-dihydroxy 2-butanone 4-phosphate synthase [EC:4.1.99.12]",1
Metabolism,"K00794  ribH, RIB4; 6,7-dimethyl-8-ribityllumazine synthase [EC:2.5.1.78]",2
Metabolism,"K00793  ribE, RIB5; riboflavin synthase [EC:2.5.1.9]",2
Metabolism,K11753  ribF; riboflavin kinase / FMN adenylyltransferase [EC:2.7.1.26 2.7.7.2],2
Metabolism,K00299  ssuE; FMN reductase [EC:1.5.1.38],1
Metabolism,"K00275  pdxH, PNPO; pyridoxamine 5'-phosphate oxidase [EC:1.4.3.5]",2
Metabolism,K03473  pdxB; erythronate-4-phosphate dehydrogenase [EC:1.1.1.290],2
Metabolism,"K00831  serC, PSAT1; phosphoserine aminotransferase [EC:2.6.1.52]",2
Metabolism,K00097  pdxA; 4-hydroxythreonine-4-phosphate dehydrogenase [EC:1.1.1.262],2
Metabolism,K03474  pdxJ; pyridoxine 5-phosphate synthase [EC:2.6.99.2],2
Metabolism,K01733  thrC; threonine synthase [EC:4.2.3.1],1
Metabolism,K00278  nadB; L-aspartate oxidase [EC:1.4.3.16],2
Metabolism,K06989  nadX; aspartate dehydrogenase [EC:1.4.1.21],1
Metabolism,K03517  nadA; quinolinate synthase [EC:2.5.1.72],3
Metabolism,"K00767  nadC, QPRT; nicotinate-nucleotide pyrophosphorylase (carboxylating) [EC:2.4.2.19]",2
Metabolism,"K00763  pncB, NAPRT1; nicotinate phosphoribosyltransferase [EC:6.3.4.21]",1
Metabolism,K01081  E3.1.3.5; 5'-nucleotidase [EC:3.1.3.5],1
Metabolism,K03787  surE; 5'-nucleotidase [EC:3.1.3.5],2
Metabolism,K20881  yrfG; 5'-nucleotidase [EC:3.1.3.5],1
Metabolism,K00969  nadD; nicotinate-nucleotide adenylyltransferase [EC:2.7.7.18],1
Metabolism,"K03426  E3.6.1.22, NUDT12, nudC; NAD+ diphosphatase [EC:3.6.1.22]",1
Metabolism,"K01950  E6.3.5.1, NADSYN1, QNS1, nadE; NAD+ synthase (glutamine-hydrolysing) [EC:6.3.5.1]",2
Metabolism,K03743  pncC; nicotinamide-nucleotide amidase [EC:3.5.1.42],2
Metabolism,K08281  pncA; nicotinamidase/pyrazinamidase [EC:3.5.1.19 3.5.1.-],1
Metabolism,K03462  NAMPT; nicotinamide phosphoribosyltransferase [EC:2.4.2.12],1
Metabolism,"K00858  ppnK, NADK; NAD+ kinase [EC:2.7.1.23]",2
Metabolism,"K00322  sthA, udhA; NAD(P) transhydrogenase [EC:1.6.1.1]",1
Metabolism,K00324  pntA; NAD(P) transhydrogenase subunit alpha [EC:1.6.1.2],1
Metabolism,K00325  pntB; NAD(P) transhydrogenase subunit beta [EC:1.6.1.2],1
Metabolism,"K01652  E2.2.1.6L, ilvB, ilvG, ilvI; acetolactate synthase I/II/III large subunit [EC:2.2.1.6]",2
Metabolism,"K01653  E2.2.1.6S, ilvH, ilvN; acetolactate synthase I/III small subunit [EC:2.2.1.6]",1
Metabolism,K00053  ilvC; ketol-acid reductoisomerase [EC:1.1.1.86],1
Metabolism,K00606  panB; 3-methyl-2-oxobutanoate hydroxymethyltransferase [EC:2.1.2.11],2
Metabolism,K01918  panC; pantoate--beta-alanine ligase [EC:6.3.2.1],2
Metabolism,K00867  coaA; type I pantothenate kinase [EC:2.7.1.33],1
Metabolism,K03525  coaX; type III pantothenate kinase [EC:2.7.1.33],1
Metabolism,"K13038  coaBC, dfp; phosphopantothenoylcysteine decarboxylase / phosphopantothenate--cysteine ligase [EC:4.1.1.36 6.3.2.5]",2
Metabolism,"K00954  E2.7.7.3A, coaD, kdtB; pantetheine-phosphate adenylyltransferase [EC:2.7.7.3]",2
Metabolism,K00859  coaE; dephospho-CoA kinase [EC:2.7.1.24],2
Metabolism,"K06133  LYS5, acpT; 4'-phosphopantetheinyl transferase [EC:2.7.8.-]",2
Metabolism,"K00826  E2.6.1.42, ilvE; branched-chain amino acid aminotransferase [EC:2.6.1.42]",2
Metabolism,K01579  panD; aspartate 1-decarboxylase [EC:4.1.1.11],1
Metabolism,K02169  bioC; malonyl-CoA O-methyltransferase [EC:2.1.1.197],2
Metabolism,K00647  fabB; 3-oxoacyl-[acyl-carrier-protein] synthase I [EC:2.3.1.41],1
Metabolism,K09458  fabF; 3-oxoacyl-[acyl-carrier-protein] synthase II [EC:2.3.1.179],1
Metabolism,K00059  fabG; 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100],3
Metabolism,K02372  fabZ; 3-hydroxyacyl-[acyl-carrier-protein] dehydratase [EC:4.2.1.59],2
Metabolism,K00208  fabI; enoyl-[acyl-carrier protein] reductase I [EC:1.3.1.9 1.3.1.10],1
Metabolism,K02170  bioH; pimeloyl-[acyl-carrier protein] methyl ester esterase [EC:3.1.1.85],2
Metabolism,K00652  bioF; 8-amino-7-oxononanoate synthase [EC:2.3.1.47],2
Metabolism,K00833  bioA; adenosylmethionine---8-amino-7-oxononanoate aminotransferase [EC:2.6.1.62],2
Metabolism,K01935  bioD; dethiobiotin synthetase [EC:6.3.3.3],2
Metabolism,K01012  bioB; biotin synthase [EC:2.8.1.6],2
Metabolism,"K03524  birA; BirA family transcriptional regulator, biotin operon repressor / biotin-[acetyl-CoA-carboxylase] ligase [EC:6.3.4.15]",2
Metabolism,K03644  lipA; lipoyl synthase [EC:2.8.1.8],2
Metabolism,K03801  lipB; lipoyl(octanoyl) transferase [EC:2.3.1.181],2
Metabolism,"K01495  GCH1, folE; GTP cyclohydrolase I [EC:3.5.4.16]",2
Metabolism,K01113  phoD; alkaline phosphatase D [EC:3.1.3.1],2
Metabolism,"K01633  folB; dihydroneopterin aldolase / 7,8-dihydroneopterin epimerase [EC:4.1.2.25 5.1.99.8]",2
Metabolism,K00950  folK; 2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase [EC:2.7.6.3],2
Metabolism,K00796  folP; dihydropteroate synthase [EC:2.5.1.15],2
Metabolism,K18974  sul1; dihydropteroate synthase type 1 [EC:2.5.1.15],1
Metabolism,K00287  folA; dihydrofolate reductase [EC:1.5.1.3],2
Metabolism,K11754  folC; dihydrofolate synthase / folylpolyglutamate synthase [EC:6.3.2.12 6.3.2.17],2
Metabolism,"K01737  queD, ptpS, PTS; 6-pyruvoyltetrahydropterin/6-carboxytetrahydropterin synthase [EC:4.2.3.12 4.1.2.50]",1
Metabolism,K10026  queE; 7-carboxy-7-deazaguanine synthase [EC:4.3.99.3],1
Metabolism,K06920  queC; 7-cyano-7-deazaguanine synthase [EC:6.3.4.20],1
Metabolism,K06879  queF; 7-cyano-7-deazaguanine reductase [EC:1.7.1.13],1
Metabolism,"K03639  moaA, CNX2; GTP 3',8-cyclase [EC:4.1.99.22]",1
Metabolism,"K03635  MOCS2, moaE; molybdopterin synthase catalytic subunit [EC:2.8.1.12]",1
Metabolism,K03750  moeA; molybdopterin molybdotransferase [EC:2.10.1.1],1
Metabolism,K01664  pabA; para-aminobenzoate synthetase component II [EC:2.6.1.85],1
Metabolism,K01665  pabB; para-aminobenzoate synthetase component I [EC:2.6.1.85],2
Metabolism,K02619  pabC; 4-amino-4-deoxychorismate lyase [EC:4.1.3.38],1
Metabolism,K00287  folA; dihydrofolate reductase [EC:1.5.1.3],2
Metabolism,K01491  folD; methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase [EC:1.5.1.5 3.5.4.9],2
Metabolism,"K00600  glyA, SHMT; glycine hydroxymethyltransferase [EC:2.1.2.1]",2
Metabolism,K11175  purN; phosphoribosylglycinamide formyltransferase 1 [EC:2.1.2.2],2
Metabolism,K08289  purT; phosphoribosylglycinamide formyltransferase 2 [EC:2.1.2.2],1
Metabolism,K00602  purH; phosphoribosylaminoimidazolecarboxamide formyltransferase / IMP cyclohydrolase [EC:2.1.2.3 3.5.4.10],2
Metabolism,"K00604  MTFMT, fmt; methionyl-tRNA formyltransferase [EC:2.1.2.9]",3
Metabolism,"K00605  gcvT, AMT; aminomethyltransferase [EC:2.1.2.10]",1
Metabolism,"K00548  metH, MTR; 5-methyltetrahydrofolate--homocysteine methyltransferase [EC:2.1.1.13]",1
Metabolism,"K00560  thyA, TYMS; thymidylate synthase [EC:2.1.1.45]",2
Metabolism,K01433  purU; formyltetrahydrofolate deformylase [EC:3.5.1.10],1
Metabolism,"K00297  metF, MTHFR; methylenetetrahydrofolate reductase (NADPH) [EC:1.5.1.20]",1
Metabolism,K01934  MTHFS; 5-formyltetrahydrofolate cyclo-ligase [EC:6.3.3.2],2
Metabolism,"K00121  frmA, ADH5, adhC; S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1]",2
Metabolism,"K01885  EARS, gltX; glutamyl-tRNA synthetase [EC:6.1.1.17]",1
Metabolism,K02492  hemA; glutamyl-tRNA reductase [EC:1.2.1.70],1
Metabolism,"K01845  hemL; glutamate-1-semialdehyde 2,1-aminomutase [EC:5.4.3.8]",1
Metabolism,"K01698  hemB, ALAD; porphobilinogen synthase [EC:4.2.1.24]",1
Metabolism,"K01749  hemC, HMBS; hydroxymethylbilane synthase [EC:2.5.1.61]",1
Metabolism,"K01719  hemD, UROS; uroporphyrinogen-III synthase [EC:4.2.1.75]",1
Metabolism,K02302  cysG; uroporphyrin-III C-methyltransferase / precorrin-2 dehydrogenase / sirohydrochlorin ferrochelatase [EC:2.1.1.107 1.3.1.76 4.99.1.4],1
Metabolism,"K01599  hemE, UROD; uroporphyrinogen decarboxylase [EC:4.1.1.37]",1
Metabolism,"K00228  CPOX, hemF; coproporphyrinogen III oxidase [EC:1.3.3.3]",1
Metabolism,"K02495  hemN, hemZ; oxygen-independent coproporphyrinogen III oxidase [EC:1.3.98.3]",1
Metabolism,"K01772  hemH, FECH; ferrochelatase [EC:4.99.1.1]",1
Metabolism,K02301  cyoE; protoheme IX farnesyltransferase [EC:2.5.1.-],2
Metabolism,"K00798  MMAB, pduO; cob(I)alamin adenosyltransferase [EC:2.5.1.17]",1
Metabolism,"K02231  cobP, cobU; adenosylcobinamide kinase / adenosylcobinamide-phosphate guanylyltransferase [EC:2.7.1.156 2.7.7.62]",1
Metabolism,"K02233  E2.7.8.26, cobS, cobV; adenosylcobinamide-GDP ribazoletransferase [EC:2.7.8.26]",1
Metabolism,"K00768  E2.4.2.21, cobU, cobT; nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase [EC:2.4.2.21]",1
Metabolism,"K02226  cobC, phpB; alpha-ribazole phosphatase [EC:3.1.3.73]",1
Metabolism,K03594  bfr; bacterioferritin [EC:1.16.3.1],1
Metabolism,K03181  ubiC; chorismate--pyruvate lyase [EC:4.1.3.40],1
Metabolism,K03179  ubiA; 4-hydroxybenzoate polyprenyltransferase [EC:2.5.1.39],2
Metabolism,K18800  ubiI; 2-octaprenylphenol hydroxylase [EC:1.14.13.-],1
Metabolism,K00568  ubiG; 2-polyprenyl-6-hydroxyphenyl methylase / 3-demethylubiquinone-9 3-methyltransferase [EC:2.1.1.222 2.1.1.64],2
Metabolism,K03185  ubiH; 2-octaprenyl-6-methoxyphenol hydroxylase [EC:1.14.13.-],2
Metabolism,"K03183  ubiE; demethylmenaquinone methyltransferase / 2-methoxy-6-polyprenyl-1,4-benzoquinol methylase [EC:2.1.1.163 2.1.1.201]",2
Metabolism,K06134  COQ7; ubiquinone biosynthesis monooxygenase Coq7 [EC:1.14.13.-],2
Metabolism,K02361  entC; isochorismate synthase [EC:5.4.4.2],1
Metabolism,K00355  NQO1; NAD(P)H dehydrogenase (quinone) [EC:1.6.5.2],1
Metabolism,K03809  wrbA; NAD(P)H dehydrogenase (quinone) [EC:1.6.5.2],2
Metabolism,"K00457  HPD, hppD; 4-hydroxyphenylpyruvate dioxygenase [EC:1.13.11.27]",1
Metabolism,K01662  dxs; 1-deoxy-D-xylulose-5-phosphate synthase [EC:2.2.1.7],1
Metabolism,K00099  dxr; 1-deoxy-D-xylulose-5-phosphate reductoisomerase [EC:1.1.1.267],1
Metabolism,K00991  ispD; 2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase [EC:2.7.7.60],1
Metabolism,K00919  ispE; 4-diphosphocytidyl-2-C-methyl-D-erythritol kinase [EC:2.7.1.148],1
Metabolism,"K01770  ispF; 2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase [EC:4.6.1.12]",1
Metabolism,"K03526  gcpE, ispG; (E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase [EC:1.17.7.1 1.17.7.3]",1
Metabolism,"K03527  ispH, lytB; 4-hydroxy-3-methylbut-2-en-1-yl diphosphate reductase [EC:1.17.7.4]",1
Metabolism,"K00626  E2.3.1.9, atoB; acetyl-CoA C-acetyltransferase [EC:2.3.1.9]",1
Metabolism,"K00869  E2.7.1.36, MVK, mvaK1; mevalonate kinase [EC:2.7.1.36]",2
Metabolism,"K01597  MVD, mvaD; diphosphomevalonate decarboxylase [EC:4.1.1.33]",2
Metabolism,K00795  ispA; farnesyl diphosphate synthase [EC:2.5.1.1 2.5.1.10],2
Metabolism,K02523  ispB; octaprenyl-diphosphate synthase [EC:2.5.1.90],2
Metabolism,K00806  uppS; undecaprenyl diphosphate synthase [EC:2.5.1.31],2
Metabolism,K00128  ALDH; aldehyde dehydrogenase (NAD+) [EC:1.2.1.3],1
Metabolism,"K00791  miaA, TRIT1; tRNA dimethylallyltransferase [EC:2.5.1.75]",2
Metabolism,K00128  ALDH; aldehyde dehydrogenase (NAD+) [EC:1.2.1.3],1
Metabolism,"K01692  paaF, echA; enoyl-CoA hydratase [EC:4.2.1.17]",1
Metabolism,K01825  fadB; 3-hydroxyacyl-CoA dehydrogenase / enoyl-CoA hydratase / 3-hydroxybutyryl-CoA epimerase / enoyl-CoA isomerase [EC:1.1.1.35 4.2.1.17 5.1.2.3 5.3.3.8],1
Metabolism,K01782  fadJ; 3-hydroxyacyl-CoA dehydrogenase / enoyl-CoA hydratase / 3-hydroxybutyryl-CoA epimerase [EC:1.1.1.35 4.2.1.17 5.1.2.3],2
Metabolism,K13774  atuB; citronellol/citronellal dehydrogenase,1
Metabolism,K13776  atuH; citronellyl-CoA synthetase [EC:6.2.1.-],1
Metabolism,K11731  atuD; citronellyl-CoA dehydrogenase [EC:1.3.99.-],1
Metabolism,K13777  atuF; geranyl-CoA carboxylase alpha subunit [EC:6.4.1.5],1
Metabolism,K13778  atuC; geranyl-CoA carboxylase beta subunit [EC:6.4.1.5],1
Metabolism,K13779  atuE; isohexenylglutaconyl-CoA hydratase [EC:4.2.1.57],1
Metabolism,"K01640  E4.1.3.4, HMGCL, hmgL; hydroxymethylglutaryl-CoA lyase [EC:4.1.3.4]",1
Metabolism,"K00632  fadA, fadI; acetyl-CoA acyltransferase [EC:2.3.1.16]",1
Metabolism,"K01692  paaF, echA; enoyl-CoA hydratase [EC:4.2.1.17]",1
Metabolism,K01825  fadB; 3-hydroxyacyl-CoA dehydrogenase / enoyl-CoA hydratase / 3-hydroxybutyryl-CoA epimerase / enoyl-CoA isomerase [EC:1.1.1.35 4.2.1.17 5.1.2.3 5.3.3.8],1
Metabolism,K01782  fadJ; 3-hydroxyacyl-CoA dehydrogenase / enoyl-CoA hydratase / 3-hydroxybutyryl-CoA epimerase [EC:1.1.1.35 4.2.1.17 5.1.2.3],2
Metabolism,"K00615  E2.2.1.1, tktA, tktB; transketolase [EC:2.2.1.1]",3
Metabolism,K01962  accA; acetyl-CoA carboxylase carboxyl transferase subunit alpha [EC:6.4.1.2],2
Metabolism,"K02160  accB, bccP; acetyl-CoA carboxylase biotin carboxyl carrier protein",2
Metabolism,"K01961  accC; acetyl-CoA carboxylase, biotin carboxylase subunit [EC:6.4.1.2 6.3.4.14]",2
Metabolism,K01963  accD; acetyl-CoA carboxylase carboxyl transferase subunit beta [EC:6.4.1.2],2
Metabolism,"K11263  bccA; acetyl-CoA/propionyl-CoA carboxylase, biotin carboxylase, biotin carboxyl carrier protein [EC:6.4.1.2 6.4.1.3 6.3.4.14]",1
Metabolism,"K00973  E2.7.7.24, rfbA, rffH; glucose-1-phosphate thymidylyltransferase [EC:2.7.7.24]",2
Metabolism,"K01710  E4.2.1.46, rfbB, rffG; dTDP-glucose 4,6-dehydratase [EC:4.2.1.46]",2
Metabolism,"K01790  rfbC, rmlC; dTDP-4-dehydrorhamnose 3,5-epimerase [EC:5.1.3.13]",2
Metabolism,"K00067  rfbD, rmlD; dTDP-4-dehydrorhamnose reductase [EC:1.1.1.133]",2
Metabolism,K01779  racD; aspartate racemase [EC:5.1.1.13],1
Metabolism,K02361  entC; isochorismate synthase [EC:5.4.4.2],1
Metabolism,"K01252  entB, dhbB, vibB, mxcF; bifunctional isochorismate lyase / aryl carrier protein [EC:3.3.2.1 6.3.2.14]",1
Metabolism,"K00216  entA; 2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase [EC:1.3.1.28]",1
Metabolism,"K02363  entE, dhbE, vibE, mxcE; 2,3-dihydroxybenzoate-AMP ligase [EC:6.3.2.14 2.7.7.58]",2
Metabolism,"K01710  E4.2.1.46, rfbB, rffG; dTDP-glucose 4,6-dehydratase [EC:4.2.1.46]",2
Metabolism,K03782  katG; catalase-peroxidase [EC:1.11.1.21],1
Metabolism,K00812  aspB; aspartate aminotransferase [EC:2.6.1.1],2
Metabolism,K00832  tyrB; aromatic-amino-acid transaminase [EC:2.6.1.57],1
Metabolism,"K00276  AOC3, AOC2, tynA; primary-amine oxidase [EC:1.4.3.21]",1
Metabolism,"K00276  AOC3, AOC2, tynA; primary-amine oxidase [EC:1.4.3.21]",1
Metabolism,K00812  aspB; aspartate aminotransferase [EC:2.6.1.1],2
Metabolism,K00817  hisC; histidinol-phosphate aminotransferase [EC:2.6.1.9],1
Metabolism,K00832  tyrB; aromatic-amino-acid transaminase [EC:2.6.1.57],1
Metabolism,"K15777  DOPA; 4,5-DOPA dioxygenase extradiol [EC:1.13.11.-]",1
Metabolism,K01434  E3.5.1.11; penicillin amidase [EC:3.5.1.11],1
Metabolism,K00931  proB; glutamate 5-kinase [EC:2.7.2.11],1
Metabolism,K00147  proA; glutamate-5-semialdehyde dehydrogenase [EC:1.2.1.41],1
Metabolism,K00956  cysN; sulfate adenylyltransferase subunit 1 [EC:2.7.7.4],1
Metabolism,K00957  cysD; sulfate adenylyltransferase subunit 2 [EC:2.7.7.4],1
Metabolism,K00928  lysC; aspartate kinase [EC:2.7.2.4],2
Metabolism,K00133  asd; aspartate-semialdehyde dehydrogenase [EC:1.2.1.11],2
Metabolism,K01714  dapA; 4-hydroxy-tetrahydrodipicolinate synthase [EC:4.3.3.7],4
Metabolism,K00215  dapB; 4-hydroxy-tetrahydrodipicolinate reductase [EC:1.17.1.8],2
Metabolism,K01835  pgm; phosphoglucomutase [EC:5.4.2.2],1
Metabolism,K15778  pmm-pgm; phosphomannomutase / phosphoglucomutase [EC:5.4.2.8 5.4.2.2],2
Metabolism,"K01092  E3.1.3.25, IMPA, suhB; myo-inositol-1(or 4)-monophosphatase [EC:3.1.3.25]",2
Metabolism,"K00973  E2.7.7.24, rfbA, rffH; glucose-1-phosphate thymidylyltransferase [EC:2.7.7.24]",2
Metabolism,"K01710  E4.2.1.46, rfbB, rffG; dTDP-glucose 4,6-dehydratase [EC:4.2.1.46]",2
Metabolism,"K01790  rfbC, rmlC; dTDP-4-dehydrorhamnose 3,5-epimerase [EC:5.1.3.13]",2
Metabolism,"K00067  rfbD, rmlD; dTDP-4-dehydrorhamnose reductase [EC:1.1.1.133]",2
Metabolism,"K00973  E2.7.7.24, rfbA, rffH; glucose-1-phosphate thymidylyltransferase [EC:2.7.7.24]",2
Metabolism,"K01710  E4.2.1.46, rfbB, rffG; dTDP-glucose 4,6-dehydratase [EC:4.2.1.46]",2
